SHAPEFILE NAME,DIRECTORY,ELLIPSOID,PROJECTION,DESCRIPTION,DATA SOURCE,QUESTION
CBMProduction,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
AllWells,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
AllExploratoryWells,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
AllProductionWells,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
Completions_Gas,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
Completions_CBM,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
Completions_Oil,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
Completions_All,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
FeetDrilled_All,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
CBMWell_Counts,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
OilWell_Counts,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
OilWell_Counts_20161111,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
GasWell_Counts,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
ProducedWater_All,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
airport-area,../shapefiles/US,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Areas for commercial airports plus runways,ESRI CD,
ERTAC_railyard_WRF,../shapefiles/2010,"+a=6370000.0,+b=6370000.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",2012 Railyard points,Collected by ERTAC,
fema_bsf_2002bnd,../shapefiles/FEMA,"+a=6370000.0,+b=6370000.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",FEMA Building Square Footage,FEMA HAZUS 2004,2002 Census Block Groups
USFS_2016_TimberHarvest,../shapefiles/USFS,#NAME?,proj=latlong,Depicts the area planned and accomplished acres treated as a part of the timber harvest program of work, funded through the budget allocation process and reported through the FACTS database,
US_Airports_NEI08v2_WRF,../shapefiles/US,"+a=6370000.0,+b=6370000.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Airport locations in NEI08v2,generated by UNC-CH from NEI ORL file,
GulfofMexico_SupportVessels_Density_WRF,../shapefiles/2010,"+a=6370000.0,+b=6370000.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Gulf of Mexico Federal Waters support vessel densities,Eastern Researh Group,
Cruise_Emissions,../../data/emiss_shp2014/LADCO,#NAME?,proj=latlong,Great Lakes CMV shipping lanes,ENERCON via LADCO and Ramboll-Environ,
Port_Emissions,../shapefiles/LADCO,#NAME?,proj=latlong,Great Lakes CMV ports,ENERCON via LADCO and Ramboll-Environ,
CMV_2013_Vessel_Density_CONUS1km,../shapefiles/CMV,"+a=6370000.0,+b=6370000.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",2013 shipping density at 1.33 km resolution,marinecadastre.gov 2013 total density,
hpms2014_lcc,../shapefiles/HPMS,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",U.S DOT Highway Performance Monitoring System (HPMS) 2013,https://www.fhwa.dot.gov/policyinformation/hpms.cfm,
AKhpms2013_lcc,../shapefiles/HPMS,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",U.S DOT Highway Performance Monitoring System (HPMS) 2013,https://www.fhwa.dot.gov/policyinformation/hpms.cfm,
HIhpms2013_lcc,../shapefiles/HPMS,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",U.S DOT Highway Performance Monitoring System (HPMS) 2013,https://www.fhwa.dot.gov/policyinformation/hpms.cfm,
prhpms2014_lcc,../shapefiles/HPMS,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",U.S DOT Highway Performance Monitoring System (HPMS) 2013,https://www.fhwa.dot.gov/policyinformation/hpms.cfm,
HI_2010_CCAP_LULC,../shapefiles/NLCD,#NAME?,"proj=tmerc,+lat_0=0,+lon_0=-159.0,+k_0=0.9996,+x_0=500000,+y_0=0",2011 National Land Cover Database HI,,
PR_USVI_2010_CCAP_LULC,../shapefiles/NLCD,#NAME?,"proj=tmerc,+lat_0=0,+lon_0=-63.0,+k_0=0.9996,+x_0=500000,+y_0=0",CCAP Land Cover Database PR USVI,,
AK_AssocGasProduction,../shapefiles/OilGas,oil Gas,"proj=stere,+lat_ts=70,+lat_0=90,+lon_0=-155,+k_0=1.0",US Oil and Gas activity for the NEI2014,,
AK_AssocGasProduction_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_Completions_All_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_Completions_Gas_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_Completions_Oil_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_CondensateGasProduction_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_FeetDrilled_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_GasProduction_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_GasWellCount_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_OilProduction_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_OilWellCount_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_ProducedWater_All_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_SpudCount_All_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_SpudCount_Gas_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_SpudCount_Oil_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_TotalExploratoryWells_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_TotalProductionWells_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
AK_TotalWells_ll,../shapefiles/OilGas/latlon,oil Gas,proj=latlong,US Oil and Gas activity for the NEI2014,,
