SHAPEFILE NAME,DIRECTORY,ELLIPSOID,PROJECTION,DESCRIPTION,DATA SOURCE,QUESTION
ports2004,../data/emiss_shp2003/us,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Point locations of marine ports,"Bureau of Tranportation Statistics, USACE (US Army Corps of Engineers)",Right Projection?
us_nav_h20,../data/emiss_shp2003/us,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Miles of waterways - navigable inland and intracoastal waterways,Bureau of Transportation Statistics - US Army Corps or Engineers,Right Projection?
nav_water_activity,../data/emiss_shp2003/us,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Miles and activity for each river segment--navigable island and intracoastal waterways.,Bureau of Transportation Statistics - US Army Corps or Engineers,How to use LENGTH and CTY_ACTIV?
mines_usgs,../data/emiss_shp2003/us,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Point locations of mineral operations and mines.,Minerals Information team of USGS,Right Projection?
us_wwtp,../data/emiss_shp2003/us,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Point locations of wastewater treatment facilities (over 1200),FEMA,Right Projection?
us_dryclean,../data/emiss_shp2003/us,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Number of dry cleaners in zipcode areas,US Census Bureau,Right Projection?
us_timb,../data/emiss_shp2003/us,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Possible Timber Removal Locations,FIA - Forest Inventory Analysis - USFS,Right Projection?
ca_pbnd_lam,../data/emiss_shp2003/canada,"+datum=NAD83","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Canada boundary shapefile,,
ca_land93_lam,../data/emiss_shp2003/canada,"+datum=NAD83","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Canada landuse shapefile,,
can_se_nad83,../data/emiss_shp2003/canada,"+datum=NAD83","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Grided socio-economic data and total labor force 15 years and over by industry source,Extracted from 1996 Census of Population,
can_socio_econ,../data/emiss_shp2003/canada,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Grided socio-economic data and total labor force 15 years and over by industry source,Extracted from 1996 Census of Population,
can_rds,../data/emiss_shp2003/canada,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",Length of roads in km in grid cell,Provided by Environment Canada,
mexmunic_new,../data/emiss_shp2003/mexico,"+a=6371200.00,+b=6371200.00","proj=latlong",Mexico municipal boundaries and with population data,,
mexico_rr,../data/emiss_shp2003/mexico,"+a=6371200.00,+b=6371200.00","proj=latlong",Mexico rail road data at 1m scale,,
mexico_roads,../data/emiss_shp2003/mexico,"+a=6371200.00,+b=6371200.00","proj=latlong",Mexico road data at 1m scale,,
mexico_rivers,../data/emiss_shp2003/mexico,"+a=6371200.00,+b=6371200.00","proj=latlong",Mexico river data at 1m scale,,
mexico_ports,../data/emiss_shp2003/mexico,"+a=6371200.00,+b=6371200.00","proj=latlong",Mexico port data at 1m scale,,
mexico_hh,../data/emiss_shp2003/mexico,"+a=6371200.00,+b=6371200.00","proj=latlong",Mexico population and housing unit data at 1m scale,,
mexico_air,../data/emiss_shp2003/mexico,"+a=6371200.00,+b=6371200.00","proj=latlong",Mexico airport data at 1m scale,,
